business_id,business_name
d-KglT1T_hRAhMX9ZS-NNw,Rogers centre
0T_ldrH4Nb-68dKfQeG4Hg,Commonwealth Stadium
bh67RoRTXUcvtdFcHMHVCw,Rogers Arena
CORxCnRIz5bH5akojYdQxg,Celebrities Nightclub
0JUwLV3LFie94J4_aFnORQ,The Palace Theatre
rB_A9FBY0raeBpIps1V3Lw,The Velvet Underground
SvqIBqjFZ0uIM5fr81NyWw,Pier 21 National Historic Site
CQ8kaEtXdZs0bE17A-qF2w,Fortune Sound Club
Not available,Sharon Hope United Church
XiB81iBFwkyOowO6ENSkqQ,Rum Runners Music Hall
Not available,Meridian Central Station
e7ZUzqBL4UWDUksspMBuUA,Century Casino Edmonton
w7oavNpCB9O0b3sE9fgK1Q,The Elgin & Winter Garden Theatre Centre
Not available,Village Studios
z8u6tnpL70UNr1CvS9PS7g,Le Club
4ton1e2nBAg-ILdWezGAXQ,Capitole de Québec
7YYrZ9LgjpKLTtF-huhJug,Scotiabank Arena
gM9MdaKczcK4jjNgCOB84Q,Canadian Tire Centre
Rz0w7gqria2kjLL6G8Ea0g,Rogers Place
fAczVm0LU-mmIPRz1VIIYA,Scotiabank Saddledome
HtJPAQlsyT3iIa26TfOXlA,Bell Centre
