Venue,Address,City,State,latitude,longitude
Rogers Centre,1 Blue Jays Way,Toronto,Ontario,43.6417384,-79.3917447
Commonwealth Stadium / Stade du Commonwealth,11000 Stadium Rd.,Edmonton,Alberta,53.5592192,-113.4735695
Rogers Arena,800 Griffiths Way,Vancouver,British Columbia,49.2776612,-123.1081074
Celebrities,"1022 Davie Street, Vancouver, BC V6E 1M3",Vancouver,British Columbia,49.279672,-123.130293
The Palace Theatre (Formerly Flames Central),219 - 8th Ave SW,Calgary,Alberta,51.0456326,-114.0670985
Velvet Underground,508 Queen St. W.,Toronto,Ontario,43.6477172,-79.4014822
Pier 21,1055 Marginal Road,Halifax,Nova Scotia,44.6383196,-63.5660116
Fortune Sound Club,147 East Pender Street,Vancouver,British Columbia,49.2805197,-123.1007382
Sharon Hope United Church,18648 Leslie Street,East Gwillimbury,Ontario,44.093832,-79.439523
Rum Runners,178 Dundas St,London,Ontario,45.451756,-75.650013
Meridian Central Station,1420 Meridian Rd NE,Calgary,Alberta,51.0651,-113.99911
Century Casino,13103 Fort Road,Edmonton,Alberta,53.5903674,-113.4331386
Elgin and Winter Garden Theatre Centre,189 Yonge St.,Toronto,Ontario,43.6529194,-79.3794517
Village Studios,1024 Davie Street,Vancouver,British Columbia,49.27950169,-123.1299918
Le Club Square Dix30,9200 Boulevard Leduc,Brossard,Quebec,45.445444,-73.438116
Théâtre Capitole,972 Rue Saint-Jean ,Québec,Quebec,46.813254,-71.2142151
Scotiabank Arena,"50 Bay Street, Suite 500",Toronto,Ontario,43.6439254,-79.3783234
Canadian Tire Centre,1000 Palladium Drive,Kanata,Ontario,45.2965202,-75.9271956
Rogers Place,10220 - 104 Avenue,Edmonton,Alberta,53.546911,-113.497237
Scotiabank Saddledome,555 Saddledome Rise SE,Calgary,Alberta,51.0385626,-114.0524879
Centre Bell,1909 avenue des Canadiens-de-Montréal,Montreal,Quebec,45.496129,-73.570472
