venue,venue_id,reviews,user_id,user_name,ratings,Venue,City,State,Category,Address,Distance From Venue
The Grange,,,,,,Under the Neon Palms at the El Mocambo,Toronto,Ontario,Museum,317 Dundas St W,759.0
The Grange,,,,,,The Horseshoe Tavern,Toronto,Ontario,Museum,317 Dundas St W,955.0
The Grange,,,,,,The Garrison,Toronto,Ontario,Museum,317 Dundas St W,754.0
The Grange,,,,,,The Rivoli,Toronto,Ontario,Museum,317 Dundas St W,515.0
The Grange,,,,,,The Palace Theatre (Formerly Flames Central),Toronto,Ontario,Museum,317 Dundas St W,563.0
Greater Vernon Museum & Archives,,,,,,BBDB's,Vernon,British Columbia,History Museum,3009 32 Ave,227.0
Centre Stage,,,,,,Enso Event Centre,Vancouver,British Columbia,Science Museum,1455 Quebec St,556.0
Chinatown Storytelling Centre,422SlUVqswTWvivmBusrKw,This is one of the worst museums I have ever visited. Very dry and boring. It smells bad and the tour was horrible. The lady showing us the taxidermy mounts...,KdjoBdWGyU1S7gcJ7CzSAg,Sandy C.,1.0,Enso Event Centre,Vancouver,British Columbia,Museum,168 Pender St E,859.0
Chinatown Storytelling Centre,422SlUVqswTWvivmBusrKw,I didn't feel like there was anything special about this place. The exhibit I found most interesting was the native artifacts they had on display. On the...,XR-vgJX3LvdPDwNoEzWRkw,C C.,2.0,Enso Event Centre,Vancouver,British Columbia,Museum,168 Pender St E,859.0
Chinatown Storytelling Centre,422SlUVqswTWvivmBusrKw,This is suppose to be a tourist attraction place but over time it is no longer is. There are a few business upstairs but the place is so run down that you...,jpIGlAym6z88W2xzHiK5_A,Denise W.,1.0,Enso Event Centre,Vancouver,British Columbia,Museum,168 Pender St E,859.0
Chinatown Storytelling Centre,422SlUVqswTWvivmBusrKw,I visited here for Tea Festival. The exhibition was really enjoyable but venue was old and messy. I wish they have bigger room next year.,JenVxVmS0Rmsf1MOpZPtEA,Mari E.,2.0,Enso Event Centre,Vancouver,British Columbia,Museum,168 Pender St E,859.0
Chinatown Storytelling Centre,422SlUVqswTWvivmBusrKw,Pretty good turnout. Unfortunately the advertisement for the movie says the movie starts at 6p. We rushed down to make it on time to find out that it...,JDDvSZLdQtdIyVSRZ3x1FA,Heather M.,4.0,Enso Event Centre,Vancouver,British Columbia,Museum,168 Pender St E,859.0
Chinatown Storytelling Centre,422SlUVqswTWvivmBusrKw,The place is alright. Major weakness is having tons of recent Chinese celebs and businessman pics on their display. The place down a block or two is more...,0QqyKNvJFHe7VL0ZijHd5g,Colin S.,3.0,Enso Event Centre,Vancouver,British Columbia,Museum,168 Pender St E,859.0
