Venue,City,State,POI,Category,Address,Distance From Venue
Farm League Brewing,Cambridge,Ontario,,,,
Dickens Pub,Calgary,Alberta,,,,
Under the Neon Palms at the El Mocambo,Toronto,Ontario,The Grange,Museum,317 Dundas St W,759.0
Grand Bizarre Exhibition Place,Toronto,Ontario,,,,
The Starlite Room,Edmonton,Alberta,,,,
BBDB's,Vernon,British Columbia,Vernon Museum,Museum,3009 32 Ave,223.0
BBDB's,Vernon,British Columbia,Greater Vernon Museum & Archives,History Museum,3009 32 Ave,227.0
Exchange Event Centre,Winnipeg,Manitoba,,,,
Modern Love,Calgary,Alberta,,,,
Enso Event Centre,Vancouver,British Columbia,Chinese Cultural Centre of Greater Vancouver 大溫哥華中華文化中心,History Museum,50 Pender St E,657.0
Enso Event Centre,Vancouver,British Columbia,Centre Stage,Science Museum,1455 Quebec St,556.0
Enso Event Centre,Vancouver,British Columbia,Chinatown Storytelling Centre,Museum,168 Pender St E,859.0
Enso Event Centre,Vancouver,British Columbia,"Island View Family Golf Centre, Vancouver",Museum,63 Keefer Pl,509.0
Enso Event Centre,Vancouver,British Columbia,Vancouver Centre For Contemp,Museum,849 Homer St,627.0
Sneaky Dee's Concert Venue,Toronto,Ontario,George Brown House,History Museum,186 Beverley St,1025.0
Rebel,Toronto,Ontario,,,,
The Rockpile Bar & Nightclub,Toronto,Ontario,,,,
Midway,Edmonton,Alberta,,,,
Hollywood Theatre,Vancouver,British Columbia,,,,
Biltmore Theatre,Oshawa,Ontario,,,,
The Buckingham,Edmonton,Alberta,,,,
The Pearl,Vancouver,British Columbia,The British Columbia Regiment - Duke of Connaugh t's Own Museum Society,Museum,620 Beatty St,791.0
The Pearl,Vancouver,British Columbia,The Herb Museum,History Museum,2Nd Floor,870.0
The Axis Club,Toronto,Ontario,,,,
The Hub,Kitchener,Ontario,Themuseum,Museum,10 King St W,174.0
The Hub,Kitchener,Ontario,B à Themuseum,Museum,10 King St W,173.0
The Hub,Kitchener,Ontario,The Gallery - Victoria Park,History Museum,83 Schneider Ave,859.0
CODA,Toronto,Ontario,,,,
Hard Luck Bar,Toronto,Ontario,,,,
The 27 Club,Ottawa,Ontario,,,,
MTELUS,Montreal,Quebec,,,,
MacEwan Hall,Calgary,Alberta,,,,
Théâtre Beanfield,Montreal,Quebec,,,,
Commonwealth Bar,Calgary,Alberta,,,,
CABARET DU CASINO DE MONTREAL,Montreal,Quebec,Jardins des Floralies,"Museum,Garden",1 Gilles Villeneuve Circt,241.0
CABARET DU CASINO DE MONTREAL,Montreal,Quebec,Musée du costume et du textile du Québec,Art Museum,349 Riverside Rue,8535.0
Commodore Ballroom,Vancouver,British Columbia,,,,
FirstOntario Concert Hall,Hamilton,Ontario,Art Gallery of Hamilton,Museum,123 King St W,213.0
FirstOntario Concert Hall,Hamilton,Ontario,Whitehern Historic House and Garden,Museum,41 Jackson St W,174.0
FirstOntario Concert Hall,Hamilton,Ontario,Halton Region Museum,Museum,RR 3 Stn Main,127.0
FirstOntario Concert Hall,Hamilton,Ontario,Royal Hamilton Light Infantry Heritage Museum,Museum,200 James St N,786.0
FirstOntario Concert Hall,Hamilton,Ontario,Hamilton Market,"Museum,Community and Government,Dining and Drinking,Grocery Store",55 York Blvd,379.0
The Danforth Music Hall,Toronto,Ontario,,,,
The Avalon Theatre At Niagara Fallsview Casino Resort,Niagara Falls,Ontario,Niagara Fun Tours,"Museum,Restaurant,Tourist Information and Service",6380 Fallsview Blvd,78.0
The Avalon Theatre At Niagara Fallsview Casino Resort,Niagara Falls,Ontario,Niagara Daredevil Exhibit,Museum,6170 Fallsview Blvd,280.0
The Avalon Theatre At Niagara Fallsview Casino Resort,Niagara Falls,Ontario,Elite Tours of Niagara Falls,Museum,6700 Fallsview Blvd,343.0
Wicket Hall,Victoria,British Columbia,,,,
Wilfrid-Pelletier,Montreal,Quebec,,,,
Velvet Underground,Toronto,Ontario,,,,
Union Hall,Edmonton,Alberta,,,,
The Opera House,Toronto,Ontario,,,,
The Axis Club (formerly known as The Mod Club) ,Toronto,Ontario,,,,
Kelowna Community Theatre,Kelowna,British Columbia,Kelowna Fire Museum & Education Centre,Museum,1630 Water St,567.0
Kelowna Community Theatre,Kelowna,British Columbia,Kelowna Museums,Museum,1424 Ellis St,258.0
Coca-Cola Coliseum,Toronto,Ontario,,,,
Kelowna Theatre,Kelowna,British Columbia,,,,
Bar le Ritz PDB,Montreal,Quebec,,,,
Bo's Bar & Stage,Red Deer,Alberta,,,,
Fortune Sound Club,Vancouver,British Columbia,,,,
Place Bell,Laval,Quebec,,,,
The Drake Hotel,Toronto,Ontario,,,,
Orpheum Theatre,Vancouver,British Columbia,,,,
Massey Hall,Toronto,Ontario,Hockey Hall of Fame,Museum,30 Yonge St,812.0
The Park Theatre,Winnipeg,Manitoba,,,,
Mohawk College - McIntyre Performing Arts Centre,Hamilton,Ontario,,,,
Showplace Performance Centre,Peterborough,Ontario,,,,
The Grand,Sudbury,Ontario,,,,
Burton Cummings Theatre,Winnipeg,Manitoba,,,,
SaskTel Centre,Saskatoon,Saskatchewan,,,,
Meridian Arts Centre: George Weston,Toronto,Ontario,,,,
OLG Stage at Fallsview Casino,Niagara Falls,Ontario,,,,
L'Olympia,Montreal,Quebec,Lolas' wurkshop,Exhibit,3459 Saint-Denis Rue,912.0
L'Olympia,Montreal,Quebec,Musée de la mode,Art Museum,363 rue de la Commune Est,966.0
Jack Singer Concert Hall at Arts Commons,Calgary,Alberta,,,,
Jack Singer Hall,Calgary,Alberta,,,,
Cowboys Ranch London,London,Ontario,London Regional Children's Museum,Museum,21 Wharncliffe Rd S,519.0
Cowboys Ranch London,London,Ontario,Corporation of the City of London,Museum,25 Wilson Ave,289.0
Meridian Arts Centre: Greenwin Theatre,Toronto,Ontario,Chinatown Storytelling Centre,Museum,168 Pender St E,23.0
Meridian Arts Centre: Greenwin Theatre,Toronto,Ontario,Chinese Cultural Centre of Greater Vancouver 大溫哥華中華文化中心,History Museum,50 Pender St E,235.0
Meridian Arts Centre: Greenwin Theatre,Toronto,Ontario,Centre Stage,Science Museum,1455 Quebec St,828.0
Meridian Arts Centre: Greenwin Theatre,Toronto,Ontario,"Island View Family Golf Centre, Vancouver",Museum,63 Keefer Pl,442.0
Canada Life Centre,Winnipeg,Manitoba,,,,
Rum Runners,London,Ontario,,,,
Bridgeworks,Hamilton,Ontario,,,,
Meridian Centre,St.Catharines,Ontario,Workers Arts & Heritage Centre,Museum,51 Stuart St,468.0
General Sikorski Hall,Oshawa,Ontario,,,,
The Dance Cave,Toronto,Ontario,,,,
Blue Grotto,Kamloops,British Columbia,,,,
One Eleven,Winnipeg,Manitoba,,,,
Village Studios,Vancouver,British Columbia,The Manitoba Museum,Museum,190 Rupert Ave,368.0
Village Studios,Vancouver,British Columbia,Association of Manitoba Museums,Museum,555 Main St,344.0
Village Studios,Vancouver,British Columbia,Finemineralblog,Art Museum,Aspen Dr,379.0
Village Studios,Vancouver,British Columbia,Manitoba Crafts Museum and Library,"Museum,Library,Non-Profit Organization",329 Cumberland Ave,383.0
Village Studios,Vancouver,British Columbia,Association of Manitoba Museums,Museum,167 Lombard Ave,447.0
Village Studios,Vancouver,British Columbia,Ukrainian Cultural & Educational Ctr,Museum,184 Alexander Ave,499.0
Village Studios,Vancouver,British Columbia,Winnipeg Police Museum,History Museum,245 Smith St,722.0
Village Studios,Vancouver,British Columbia,Fire Fighters Museum of Winnipeg,History Museum,56 Maple St,921.0
Village Studios,Vancouver,British Columbia,Friends of the Canadian Museum for Human Rights,Museum,201 Portage Ave,394.0
Village Studios,Vancouver,British Columbia,Science Gallery the Manitoba Museum - Hours & Admission,"Museum,Gift Store",190 Rupert Ave,409.0
St. Aidan's Anglican Church,Toronto,Ontario,,,,
Common/UNDRGRD,Calgary,Alberta,,,,
Sky Bar (Guvernment Complex),Toronto,Ontario,,,,
Bronson Centre,Ottawa,Ontario,Parliament Interpretive Centre,Museum,265 Front St E,827.0
History,Toronto,Ontario,Canadian War Museum | Musée Canadien de la Guerre,History Museum,1 Vimy Pl,908.0
History,Toronto,Ontario,Workers’ History Museum,"Exhibit,History Museum,Non-Profit Organization",251 Bank St,820.0
History,Toronto,Ontario,Musée de la Monnaie,History Museum,245 Sparks St,878.0
History,Toronto,Ontario,Currency Museum (Musee de la monnaie),Museum,30 Bank St,979.0
History,Toronto,Ontario,Bank of Canada Museum,Museum,"30, rue Bank St",966.0
History,Toronto,Ontario,Sparks Street Pedestrian Mall,Museum,151 Sparks St,702.0
History,Toronto,Ontario,Musée canadien de la guerre,Museum,1 Vimy Pl,895.0
History,Toronto,Ontario,Bravo Art,Museum,Rpo Rideau Ctr,896.0
Celebrities,Vancouver,British Columbia,,,,
Theatre du Casino du Lac-Leamy,Gatineau,Quebec,,,,
Salle Richard-Sauvageau,Laprairie,Quebec,,,,
Théâtre Capitole,Quebec,Quebec,,,,
Le Club Square Dix30,Brossard,Quebec,Le Lieu,"Museum,Public Art,Non-Profit Organization",345 Rue du Pont,645.0
Le Club Square Dix30,Brossard,Quebec,Québec-Lévis Ferry,"Museum,Harbor or Marina,Charter Bus",10 des Traversiers Rue,973.0
Le Balcon,Montreal,Quebec,,,,
Molson Canadian Centre at Casino New/Nouveau Brunswick,Moncton,New Brunswick,Montreal Science Centre (Montréal Science Centre),Museum,2 Rue de la Commune O,510.0
Club Regent Event Centre,Winnipeg,Manitoba,,,,
Century Casino,Edmonton,Alberta,,,,
Meridian Central Station,Calgary,Alberta,,,,
"The Pearl Showroom, Pure Casino Yellowhead",Edmonton,Alberta,,,,
Coors Event Centre,Saskatoon,Saskatchewan,,,,
The Arena at Pickering Casino Resort,Pickering,Ontario,,,,
The Colosseum at Caesars Windsor,Windsor,Ontario,,,,
LONDON MUSIC HALL,London,Ontario,,,,
Babylon,Ottawa,Ontario,,,,
Le Belmont,Montreal,Quebec,,,,
Upstairs Cabaret,Victoria,British Columbia,,,,
