Event_name,Event_type,Event_dates,Event_start_times,Event_time_zone,Venues,City,States,Address,Latitude,Longitude,Additional_info,Ticket_limits,Age_restrictions,Parking,Accesibility,Last_Purchase_Date
Matt Weidinger,Rock,2024-04-20,20:00:00,America/Toronto,Farm League Brewing,Cambridge,Ontario,295 Ainslie Street S,43.35128,-80.31318,"This event is 19 and over. Any ticket holder unable to present valid identification indicating that they are at least 19 years of age will not be admitted to this event, and will not be eligible for a refund.",No ticket limit information available,True,nan,nan,2024-04-20 20:00:00
"Enterprise Earth w/ Inferi, Crown Magnetar & Tracheotomy",Rock,2024-04-20,18:00:00,America/Edmonton,Dickens Pub,Calgary,Alberta,1000 9th Avenue SW ,51.04548611,-114.08399,"This event is 18 and over. Any ticket holder unable to present valid identification indicating that they are at least 18 years of age will not be admitted to this event, and will not be eligible for a refund.",No ticket limit information available,True,nan,nan,2024-04-20 18:00:00
Now In Service,Rock,2024-04-20,20:00:00,America/Toronto,Under the Neon Palms at the El Mocambo,Toronto,Ontario,464 Spadina Avenue,43.65758,-79.4002,"This event is 19 and over. Any ticket holder unable to present valid identification indicating that they are at least 19 years of age will not be admitted to this event, and will not be eligible for a refund.",No ticket limit information available,True,nan,nan,2024-04-24 20:00:00
House of Summon Presents: Woo York Live (Afterlife),Dance/Electronic,2024-04-20,22:00:00,America/Toronto,Grand Bizarre Exhibition Place,Toronto,Ontario,15 Saskatchewan Rd,43.632598,-79.423739,"This event is 19 and over. Any ticket holder unable to present valid identification indicating that they are at least 19 years of age will not be admitted to this event, and will not be eligible for a refund. MUST be 19 plus to attend/enter Venue. Any Ticket holder unable to present valid identification indicating that they are at least 19 years of age will not be admitted to this event, and will not be eligible for a refund. Holder of this ticket voluntarily assumes all risks and danger incidental to any event for which this ticket is issued and waives all claims against the event sponsor, the owner of the facility, the ticket producer or issuer. Admission is subject to compliance with all laws and facility rules and the ticket holder consents to reasonable examinations and searches to ensure compliance. Failure to comply with the law or facility rules may result in refusal of admission or expulsion. No unauthorized recording of event where prohibited.",No ticket limit information available,True,nan,nan,2024-04-20 22:00:00
Korpiklaani w/ Visions of Atlantis & ILLUMISHADE,Metal,2024-04-20,18:00:00,America/Edmonton,The Starlite Room,Edmonton,Alberta,10030 – 102 Street,53.546218,-113.490371,nan,No ticket limit information available,False,nan,nan,2024-04-20 18:00:00
The Casualties with Terminal City Rats & No Comply,Rock,2024-04-20,20:00:00,America/Vancouver,BBDB's,Vernon,British Columbia,"3127 - 30th Avenue Vernon, BC V1T 2C2",50.2638,-119.27264,"By clicking 'Agree and Check Out'., you agree that Modo Live or one of its partners may contact you from time to time via email or SMS with relevant marketing materials and offers. You may unsubscribe at any time.",No ticket limit information available,False,nan,nan,2024-04-20 20:00:00
AVICII TRIBUTE,Dance/Electronic,2024-04-20,21:00:00,America/Winnipeg,Exchange Event Centre,Winnipeg,Manitoba,291 Bannatyne Avenue,49.898647,-97.1418,"This event is 18 and over. Any ticket holder unable to present valid identification indicating that they are at least 18 years of age will not be admitted to this event, and will not be eligible for a refund.",No ticket limit information available,True,nan,nan,2024-04-20 21:00:00
Gone Cosmic w/ Pet Blessings and Midnight peg,Alternative,2024-04-20,17:00:00,America/Edmonton,Modern Love,Calgary,Alberta,613 11 Ave SW,51.042412,-114.075012,"This event is 18 and over. Any ticket holder unable to present valid identification indicating that they are at least 18 years of age will not be admitted to this event, and will not be eligible for a refund.",No ticket limit information available,True,nan,nan,2024-04-20 17:00:00
GZA,Hip-Hop/Rap,2024-04-20,20:00:00,America/Vancouver,Enso Event Centre,Vancouver,British Columbia,750 Pacific Blvd,49.27596,-123.11056,"This event is 19 and over. Any ticket holder unable to present valid identification indicating that they are at least 19 years of age will not be admitted to this event, and will not be eligible for a refund.",No ticket limit information available,True,nan,nan,2024-04-20 20:00:00
The Tortured Poets Department: Listening Party + Taylor Swift Dance Party at Sneaky Dee's - Toronto,Pop,2024-04-20,22:30:00,America/Toronto,Sneaky Dee's Concert Venue,Toronto,Ontario,"431 College Street, 2nd Floor",43.656413,-79.407486,"This event is 19 and over. Any ticket holder unable to present valid identification indicating that they are at least 19 years of age will not be admitted to this event, and will not be eligible for a refund.",No ticket limit information available,True,nan,nan,2024-04-20 23:30:00
