Venue,Address,City,State,latitude,longitude
Farm League Brewing,295 Ainslie Street S,Cambridge,Ontario,43.35128,-80.31318
Dickens Pub,1000 9th Avenue SW ,Calgary,Alberta,51.04548611,-114.08399
Under the Neon Palms at the El Mocambo,464 Spadina Avenue,Toronto,Ontario,43.65758,-79.4002
Grand Bizarre Exhibition Place,15 Saskatchewan Rd,Toronto,Ontario,43.632598,-79.423739
The Starlite Room,10030 – 102 Street,Edmonton,Alberta,53.546218,-113.490371
BBDB's,"3127 - 30th Avenue Vernon, BC V1T 2C2",Vernon,British Columbia,50.2638,-119.27264
Exchange Event Centre,291 Bannatyne Avenue,Winnipeg,Manitoba,49.898647,-97.1418
Modern Love,613 11 Ave SW,Calgary,Alberta,51.042412,-114.075012
Enso Event Centre,750 Pacific Blvd,Vancouver,British Columbia,49.27596,-123.11056
Sneaky Dee's Concert Venue,"431 College Street, 2nd Floor",Toronto,Ontario,43.656413,-79.407486
Rebel,11 Polson Street,Toronto,Ontario,43.640897,-79.354593
The Rockpile Bar & Nightclub,5555A Dundas St. West,Toronto,Ontario,43.62942,-79.548931
Midway,6107 104 St NW,Edmonton,Alberta,53.498606,-113.496832
Hollywood Theatre,3123 W Broadway,Vancouver,British Columbia,49.26444,-123.17456
Biltmore Theatre,39 King St. East,Oshawa,Ontario,43.89767,-78.86197
The Buckingham,10439 82 Avenue NW,Edmonton,Alberta,53.5179,-113.49912
The Pearl,881 Granville Street,Vancouver,British Columbia,49.280658,-123.121407
The Axis Club,722 College Street,Toronto,Ontario,43.6554,-79.41937
The Hub,125 King Street W.,Kitchener,Ontario,43.45054,-80.49148
CODA,794 Bathurst Street,Toronto,Ontario,43.665374,-79.41154
Hard Luck Bar,772a Dundas Street West,Toronto,Ontario,43.65215,-79.407552
The 27 Club,27 York Street,Ottawa,Ontario,45.428061,-75.694058
MTELUS,59 Rue Sainte-Catherine Est,Montreal,Quebec,45.5105348,-73.563372
MacEwan Hall,2500 University Dr. NW,Calgary,Alberta,51.075691,-114.129152
Théâtre Beanfield,2490 Rue Notre-Dame Ouest ,Montreal,Quebec,45.482867,-73.574973
Commonwealth Bar,731 10 Avenue SW,Calgary,Alberta,51.043571,-114.078298
CABARET DU CASINO DE MONTREAL,"1, avenue du Casino",Montreal,Quebec,45.5067084,-73.5259512
Commodore Ballroom,868 Granville St.,Vancouver,British Columbia,49.2806462,-123.1208652
FirstOntario Concert Hall,1 Summers Lane,Hamilton,Ontario,43.2557913,-79.871306
The Danforth Music Hall,147 Danforth Ave.,Toronto,Ontario,43.6764492,-79.3571014
The Avalon Theatre At Niagara Fallsview Casino Resort,6380 Fallsview Boulevard,Niagara Falls,Ontario,43.0824553,-79.0813004
Wicket Hall,919 Douglas Street,Victoria,British Columbia,48.423494,-123.365141
