venue,venue_id,reviews,user_id,user_name,ratings
Latinoamerica Unida,-tlUatScbE-dGR-GB2sy7Q,"The best Mexican food in Cambridge and the KW region! One of my favourite spots to eat, Latinoamerica Unida has tasty and filling meals and amazing service,...",HDSAltBTaoTd7qkfNyxYfA,Phyllis L.,5.0
Latinoamerica Unida,-tlUatScbE-dGR-GB2sy7Q,We were walking along Grand River and one of locals struck up a conversation. I think it was obvious we weren't from the area and he told us we should go to...,ktrlzYpMzrKYOu_ivP3_sA,Peter B.,5.0
Latinoamerica Unida,-tlUatScbE-dGR-GB2sy7Q,"We love going there, family oriented restaurant a little small but sooo authentic you can't beat it , margaritas are the bomb service is fantastic, food was...",ZC0203i_WXKezfVEtqX0pw,Frederick D.,4.0
Monigram Coffee Roasters,YI8t-hPHI79W4G36oWP05Q,"Great selection of coffees and other beverages, and baked goods. Very nice ambiance makes for a  good sit down brunch option or take out too. Very happy...",uvVdV5Bj64sVgnNBqbuDqg,Devin F.,5.0
Monigram Coffee Roasters,YI8t-hPHI79W4G36oWP05Q,The best spot for coffe in Cambridge. The excellent service and quality have always been consistent and they have never disappointed! I bring  all of my...,HDSAltBTaoTd7qkfNyxYfA,Phyllis L.,5.0
Monigram Coffee Roasters,YI8t-hPHI79W4G36oWP05Q,Was visiting from Toronto and this was the place that stood out the most. Got the strawberry pastry and a flavourful cappucino. Very cute aesthetic inside...,VeOeIErkYyZ5-8RxRYHZ6A,Max I.,5.0
Red Basil Vietnamese Restaurant,0Qh0SJjaiMTDf2-_k_fWVg,"On Saturday Aug. 18 2023 My 2 sisters and I, and 2 nieces who are visiting from out of town, had the pleasure of eating at the Red Basil in Cambridge. The...",vHNS-bChBIf4JrxMTCCfaA,Gloria C.,5.0
Red Basil Vietnamese Restaurant,0Qh0SJjaiMTDf2-_k_fWVg,"My hubby and I have eaten here many times since we moved to Cambridge. Located in downtown Cambridge, you can find parking on the streets or at a municipal...",lstlOQgPI-HEmvf85yAA5A,Chris J.,4.0
Red Basil Vietnamese Restaurant,0Qh0SJjaiMTDf2-_k_fWVg,"We been to Red basil many times. My wife specially is a regular customer. We have always liked the food. The pho is good, the Pad thai is excellent, but my...",242-DHMPDzfjYrb45dd9ZQ,Mo B.,4.0
Hungry Ninja,m5qY9xHr1de8EpgqybBqDQ,"Wow! First time trying Hungry Ninja, my favourite little hole in the wall restaurant I haven't too many great experience food wise in Cambridge this was one...",ZC0203i_WXKezfVEtqX0pw,Frederick D.,4.0
Hungry Ninja,m5qY9xHr1de8EpgqybBqDQ,"The ninja bowls are really good, and I really like that you are able to customize the bowls with your choice of sauce and proteins.
The daily deals are what...",HDSAltBTaoTd7qkfNyxYfA,Phyllis L.,4.0
Hungry Ninja,m5qY9xHr1de8EpgqybBqDQ,"Although they did get my order wrong (chicken instead of beef), their yakisoba was probably the best ive had in a long time. Their store is a garage style...",NjpNSE6iduyzk8nFNMgAQg,Tyler C.,5.0
Hungry Ninja,2yrrqV7abJnj9sJHy-lGDw,"We ordered takeout from the Hungry Ninja. The online order system instructs you to send a text message with particular ordering instructions, which is fine...",xcp-ESVh6tEghbAFBEoFuA,Sam S.,1.0
Hungry Ninja,2yrrqV7abJnj9sJHy-lGDw,"So poke bowls are one of my favourite things to eat, and this place definitely didn't disappoint. It was delicious. But not only that, the service was super...",Z5r70En-h8IGz2xWiPxnQg,Melissa P.,5.0
Hungry Ninja,2yrrqV7abJnj9sJHy-lGDw,"My boyfriend and I came here on a Monday and lucky for us, the daily special was the salmon burrito ($10) which was exactly what we wanted. My boyfriend...",_f5fHijZb6xocu_jNeZvPA,Felicia Y.,4.0
Bombay Sizzler,tkEHtf5jmqF3-uE2n7iJTA,"I really enjoy this place and should go more often but money is tight. Not that they're expensive. Whatever else you get, try the pakora",aWnJGBB2bKB1rHXyCwvhmw,Mike F.,4.0
Bombay Sizzler,tkEHtf5jmqF3-uE2n7iJTA,"I love this place! The food is so good and the service is wonderful. If you're feeling adventurous, ask for suggestions. We have never regretted our...",bj99tbbusD5gS_FBUkPnFQ,Kay M.,5.0
Bombay Sizzler,tkEHtf5jmqF3-uE2n7iJTA,"I ordered lamb seek kebab and fish tikka today for takeout and both the dishes were horrible.  I will never go to this place again, not even if they give...",-OjbwvwksEgAhO31NvhLNA,Amit D.,1.0
Andy's Pizza,DXDUemyOb9gi0C-RoI3wgw,"Very good pizza. The Beev pizza superb! With lots of cheese and bacon.
I recommend that place",ZOKhAOgrHCKRTiaJHpaB5A,Marco C.,5.0
Andy's Pizza,DXDUemyOb9gi0C-RoI3wgw,Amazing pizza and toasted subs!!  Everything is fresh and you can tell by the taste and quality.,5DX5_HCQM4e0cl1EcmSomg,Jason N.,5.0
Andy's Pizza,DXDUemyOb9gi0C-RoI3wgw,"This is an awesome pizza place. The pizza is delicious, normally I would use dipping sauce with pizza. Andy's is so full of flavour I didn't want dipping...",f7XwiWGV7-SA1kSRoo8tcg,Trish A.,5.0
Tiny Cakes,xi_tVg2Y5fAFMBh0qGJk9g,"What a quaint little bakery.  The owners and staff are always super friendly and the sweets are tasty. Whenever I'm in the Downtown Galt area, I feel...",-jrwNc-li9NhWdG_AFVA0A,Gian C.,5.0
Tiny Cakes,xi_tVg2Y5fAFMBh0qGJk9g,This is the best place in town for gluten free cupcakes by far. They taste soooo good and are well worth the money fir such a great treat.  Customer service...,w6VVEsDfzibGtKp5nZCSMQ,Colleen M.,5.0
Tiny Cakes,xi_tVg2Y5fAFMBh0qGJk9g,Tiny cakes use special ingredients in their cupcakes and cakes (healthier options) so do not expect to take a bite into a normal tasting cupcake! Their...,edDyETqPEO9OmHRHVsBN3w,Amanda T.,1.0
My Thai,El0JcVdwIhpB3cXBrSf8fg,"I ordered fresh spring rolls and the menu said ""4"" which I assumed meant 4 rolls. It's actually just two rolls, cut in half which equal 4 small pieces. very...",qEde3XzSXN7OKrfk5Sfs6w,Lisa T.,3.0
My Thai,El0JcVdwIhpB3cXBrSf8fg,"Sorry definitely not ""My Thai"" choice next time!  I must say that the pad thai is authentic, but sadly everything else fell short.

The chicken in both the...",oBjrVmaIylfA8RHOVL_-RQ,Edward L.,2.0
My Thai,El0JcVdwIhpB3cXBrSf8fg,"I had takeout so I can't comment on the interior or service.
I got the lime leaf curry chicken with a tomyum soup with chicken and lime, wow. Absolutely...",ltsAZAwKFOiibmFqGir-wQ,Marton B.,5.0
Cafe 13 Main St Grill,I2bL92zZuHNFLHgPKsV97g,"Nice Patio - terrible food. Overpriced. 

Ordered two Caesars, they were fine. 
Cheeseburger, overcooked and tasteless.
Korean Chicken Sandwich - inedible...",x4uQxpU3AxmgL113A-lQrw,John F.,2.0
Cafe 13 Main St Grill,I2bL92zZuHNFLHgPKsV97g,"Friendly staff and delicious food. Solid selection of craft beer/cidars.
Cool building too.",elwzi37VJJO_ugZRWUAEyw,Mike E.,4.0
Cafe 13 Main St Grill,I2bL92zZuHNFLHgPKsV97g,"I am a self proclaimed food nut. I love to eat and I consistently look for great restaurants. Keep looking past this one. 

My husband had the dead elephant...",_NG1l4fEL7bTqP8XNO8XQg,Kim S.,1.0
Foundry Tavern,Wqo65IX2cYaA271L0aKCXA,4.5 stars. I'm amazed at the incredible thought and meticulous detail the developers took to execute such an incredible anchor to the revamped Gas Lamp...,ZjtIyvR0LDTo4rx4C0ZEgw,Bill R.,4.0
Foundry Tavern,Wqo65IX2cYaA271L0aKCXA,I arrived at 11 pm on a Friday night. They directed us to the bar. Fine. They took our drinks order and brought them in reasonable time. We inquired about...,ny7z2bpGEIZROwMoi_TwyA,Brian M.,1.0
Foundry Tavern,Wqo65IX2cYaA271L0aKCXA,We were in Cambridge for work and decided to pop by for dinner! The outside seems to be still under construction (I hear they're building a fine dining...,JL2uB3BoQT6gvGWiMWK_6Q,Lily L.,5.0
