venue,venue_id,reviews,ratings
Rogers centre,d-KglT1T_hRAhMX9ZS-NNw,It's not even there someone put it on a location and messed with the thing so now there's nothing there if I could I would give it zero stars,1
Commonwealth Stadium,0T_ldrH4Nb-68dKfQeG4Hg,"Let's go Eskimos! As a season ticket holder for the Eskimos, Commonwealth is like a second home. It lacks some of the modern pizzazz (and budget) of the NFL...",4
Commonwealth Stadium,0T_ldrH4Nb-68dKfQeG4Hg,Well let's just say this place is amazing. I used to work here for 4 years and just love it the staff is amazing and very friendly. The seats are very well...,4
Commonwealth Stadium,0T_ldrH4Nb-68dKfQeG4Hg,"As season ticket holders, we've been to the stadium many times but this was our first Grey Cup game here. 

Most things were status quo, but there were a...",4
Rogers Arena,bh67RoRTXUcvtdFcHMHVCw,What a nice arena. Got to sit close to the game so it's a pretty good view. Not from around here so only got to enjoy it for a short time. Would say it's...,5
Rogers Arena,bh67RoRTXUcvtdFcHMHVCw,"It's a stadium. With stadium pricing.
Staff and security team are super nice.
Commenting on seats.
I've had the privilege to sit in different seats this...",3
Rogers Arena,bh67RoRTXUcvtdFcHMHVCw,"Located on the 500 level of Roger's Arena through gate 16 is Club 500. After you clear security and a quick elevator ride, you will be greeted by the warm...",4
Celebrities Nightclub,CORxCnRIz5bH5akojYdQxg,"A great time!  

Visited Celebrities while in Vancouver visiting from the US on a Saturday Night.  I'm a big EDM fan and Ive been to a LOT of EDM clubs and...",5
Celebrities Nightclub,CORxCnRIz5bH5akojYdQxg,"One of the worst club, do not go there, they have people to steal your debit or credit card and use randomly, my son's card was theft and used for nearly...",1
Celebrities Nightclub,CORxCnRIz5bH5akojYdQxg,"My nightclub days are scarce, but in my opinion you are never too old to bust a move!!!

Before you go snickering, ""Celebs is a gay bar""..... Celebs is not...",5
The Palace Theatre,0JUwLV3LFie94J4_aFnORQ,"I went to Flogging Molly on the 20th and was served by the rudest bartender I've ever encountered.

 I ordered 2 beers and he charged me $17.49 (!!! Regular...",1
