Business ID,Name,Ratings,Pricing,Distance_From_Venue,Address,City,Latitude,Longitude
mG71gQ5HWl7ut9OCN6NJKA,360 Restaurant,3.7,$$$$,165.16262251036238,290 Bremner Blvd,Toronto,43.6422401,-79.3898128
r_BrIgzYcwo1NAuG9dLbpg,Pai Northern Thai Kitchen,4.4,$$,724.4751668627732,18 Duncan Street,Toronto,43.64784,-79.38872
B70iTJjcPkuYn8ouUewWgw,Gusto 101,4.0,$$,778.8767156091591,101 Portland Street,Toronto,43.645002131066,-79.400309337027
K5Q2vkF5UpytV9Q1rB-5Yg,Akira Back,4.0,$$$$,399.20473139805,80 Blue Jays Way,Toronto,43.64541,-79.3923
_7HjUKqU5GQOQirnZzRgWA,Sportsnet Grill,3.8,$$,185.33789961283082,1 Blue Jays Way,Toronto,43.642222906459,-79.3895409044114
aLcFhMe6DDJ430zelCpd2A,Khao San Road,4.0,$$,541.143889920746,11 Charlotte Street,Toronto,43.646412027881496,-79.39361985450327
_cjPEH9wXhKS-HQe_U3M4Q,Le Sélect Bistro,3.9,$$$,476.430635870609,432 Wellington Street W,Toronto,43.643905577145816,-79.39685231028895
vDmO5TmCFIUrLJGVwD4JKg,Minami Toronto,4.1,Information not available,611.8730064698444,225 King Street W,Toronto,43.64670917505803,-79.3884829276101
j87_0kpKjsRx-EKHmOW6VQ,Siempre Restaurant,3.9,$$,187.7470329888127,348 Front Street W,Toronto,43.643393311738,-79.3922074406298
LBQD0H2109oltJNF1raLWA,The Haam,4.2,$$,637.8299863225731,342 Adelaide St W,Toronto,43.64743,-79.39308
Yl2TN9c23ZGLUBSD9ks5Uw,Byblos,4.4,$$$$,708.4840328406718,11 Duncan Street,Toronto,43.647546,-79.388123
uPa5hrWmHm0n1l4MSyVMGQ,Aloette,4.4,$$$,830.8330782536644,163 Spadina Avenue,Toronto,43.64855831176563,-79.395963
EEIz44ewHhOKmfTloAK13g,Alo Restaurant,4.5,$$$$,830.6447533144736,163 Spadina Avenue,Toronto,43.64851,-79.39584
SZuroTnXB7FwOlHp8Jahyg,Aanch,4.2,$$,340.395735749926,259 Wellington St W,Toronto,43.64476,-79.391066
ZumOnWbstgsIE6bJlxw0_Q,Jacobs & Co. Steakhouse,4.4,$$$$,649.0560511511234,12 Brant Street,Toronto,43.64539876116,-79.3980279011192
OA1o0ixPWw-maEq2CF1Qag,Kiin,4.0,$$$,654.8501008917914,326 Adelaide Street W,Toronto,43.647622,-79.3921
b4LmLgVdbhM-nc1IZc5Weg,Rodney's Oyster House,4.1,$$$,543.9360057691348,469 King Street W,Toronto,43.644948,-79.396846
SaQQCsVs4h7qHoYD_GPrPA,Chin Chin Street Side Kitchen,3.7,Information not available,159.83072336373544,363 Bremner Boulevard,Toronto,43.64046,-79.39257
exysqt4RqxkF9I8Z2NEUsQ,King Taps,3.9,$$,1111.8121508999566,100 King Street W,Toronto,43.6486379269,-79.3817439
h8vVxwP6FnlkRDONKBHT-w,Chubby's Jamaican Kitchen,4.2,$$,825.9890547268674,104 Portland Street,Toronto,43.64532,-79.40066
IppdfayfahhTBhCt3RID3Q,Panini's Italian Cucina,4.4,$$,487.17015993856285,8544 Jasper Avenue,Edmonton,53.5552906,-113.4713983
0z6gFGDSeb59ZkoSoO7LdQ,Otto Food and Drink,4.6,$$,1062.8578845996983,11405 95 Street NW,Edmonton,53.56448,-113.48682
Wc2dOe5VdFoYwc-0wvkhwg,Italian Centre Shop,4.6,$$,834.3351688948804,10878 95 Street NW,Edmonton,53.55609,-113.4852
6mzNsdUpq2wRQqGF8EGUgA,Noi Thai,4.4,$$,928.5603781872265,10724 - 95 Street,Edmonton,53.55357,-113.48381
hYbRyY7O_iDhA1yyfC7Twg,Felice Cafe,5.0,Information not available,313.93293879182863,10930 84 Street NW,Edmonton,53.55662294539991,-113.47170219833184
t4mRS4ErJhzJh6vAbev15g,Zocalo,4.5,$$,858.3407871439324,10826-95 St NW,Edmonton,53.55522,-113.48485
dq-02omJz_ufg1F-BME0kg,Spinelli's Bar Italia,3.8,$,831.1056280694917,10878 95 Street,Edmonton,53.55627662392606,-113.4851361201532
vCCK94i-qZWeVAD3-vPNaA,Sorrentino's Little Italy,3.5,$$,828.6181959060146,10844 95 St,Edmonton,53.5556616,-113.4845926
eT8pP1ND98zYLST5zhZtEQ,Safron's Caribbean Delight,4.3,Information not available,480.8045912758839,8155 112 Avenue NW,Edmonton,53.5611076,-113.466568
UMEnB4wdUFlBPiAj3iEJnQ,Allegro Italian Kitchen - Little Italy,3.0,Information not available,829.5996171168323,10805 95 Street,Edmonton,53.55503,-113.48382
FXDYB9KPnMiBZGay23E4jg,La French Taste,5.0,Information not available,1058.1941616554418,11401-95 Street,Edmonton,53.5644108,-113.4869977
tD7_JhXERoPS8NXCi7UiCg,Liz's HomeStyle Grill,3.8,$$,746.5491521851362,8930 Jasper Avenue,Edmonton,53.552506567706,-113.473351157425
IfM9J1ilAANHRqGwbFNViQ,Mesobena,4.8,Information not available,865.1669059735775,10810 95 St,Edmonton,53.55491,-113.48447
EXONaa9dDEMQcBShzzou1A,Stadium Donair,3.0,$,475.0367478911788,8157-112 Avenue,Edmonton,53.56093,-113.46696
z3T6K_cPKzDSfRVesdzsDQ,Rob’s Famous Fried Chicken,3.0,Information not available,445.75303458576104,8540 Jasper Avenue,Edmonton,53.55507,-113.47206
WOkyHJk8deJhyvcBa9RMtQ,Panago Pizza,5.0,Information not available,561.2637925352699,8112 -112th Avenue,Edmonton,53.56167,-113.46605
0ihbRd1mnVKCP6h8TEpqng,Subway,2.3,Information not available,558.938751160612,Stadium Station,Edmonton,53.56167,-113.46614
AoboRmPP2tFZctiav2VAdQ,McDonald's,1.8,Information not available,517.4028653917882,8132 112th Avenue NW,Edmonton,53.5615698405881,-113.466808742134
2d7rO6a0HdyEg2Nnf3kLKg,McDonalds,2.1,$,517.4868368664678,11240 82 Street NW,Edmonton,53.5616860463663,-113.466925621033
8vT_NDTBTyYoB4_eLP3Hjg,Abyssinia Ethiopian Restaurant,5.0,Information not available,865.1669059735775,10810 95 Street NW,Edmonton,53.55491,-113.48447
LjdbthVdtLYKSi7iVAFl0g,Jam Cafe on Beatty,4.4,$$,309.0721958814986,556 Beatty Street,Vancouver,49.2802586,-123.1096376
_4R46MNkwx9MeOyt0YfNxA,Chambar,4.2,$$,306.154907776554,568 Beatty Street,Vancouver,49.2801460007961,-123.109925328073
z2tHNBxoQ-_CoczbhzLNrQ,TAKO,4.0,$,136.2132190765083,601 Expo Boulevard,Vancouver,49.278816,-123.1078822
Ufhxnrt_OJu4jHfVTP3aRQ,Fanny Bay Oyster Bar & Shellfish Market,4.4,$$,447.6958729693389,762 Cambie St,Vancouver,49.2787525,-123.1138689
ljnjap6GNVMvS1DNzgDOYA,Caveman Cafe,4.4,$$,357.8350097118248,88 W Pender Street,Vancouver,49.280802324947445,-123.10703500282293
yeNenSjz_HCqngGFU5d8NQ,Phnom Penh,4.2,$$,723.4243162284209,244 E Georgia Street,Vancouver,49.278431,-123.098205
sUxHZhLvTrLE4eoewdv-ug,Pizzeria Ludica,4.0,$$,266.23994206581943,189 Keefer Place,Vancouver,49.2800427277576,-123.108486811639
wHTXCWVsx2PYPT21JV-HeQ,Lupo,4.3,$$$,672.9820473717787,869 Hamilton Street,Vancouver,49.27823,-123.1174
ecN9xzc80xkm9XOFNCUDmw,Tokyo In April,4.3,$$,312.7086750336544,526 Abbott St,Vancouver,49.2806813,-123.1073936
uAROEz8D29elXoNxjnPrkQ,Twisted Fork,4.1,$$,670.128576429489,213 Carral Street,Vancouver,49.283194,-123.104445
QmkGDL-8zexdKV3Xcn8ZYg,OEB Breakfast Co. Yaletown,4.3,$$,934.7644751197168,1137 Marinaside Crescent,Vancouver,49.27348,-123.119278
cq_L0RPXHZ2MjPEkWLRDCQ,Sushi Den,3.2,$$,185.3210325577004,609 Abbott Street,Vancouver,49.2793121337891,-123.107757568359
cLGh_q9jWTpp53tsj29S-w,The Dirty Apron Delicatessen,4.5,$$,328.7055581663098,540 Beatty St,Vancouver,49.2805632,-123.1091772
7Y9dgVNnW6gxeEkdK-gzgg,Papparoti,4.4,$$,272.5119359230109,193 Keefer Place,Vancouver,49.2799385,-123.1081741
uxJqItMyU6pAJxxmveiXBw,Chinatown BBQ,4.4,$$,561.6400450385736,130 E Pender Street,Vancouver,49.280294,-123.1015
VPqWLp9kMiZEbctCebIZUA,Medina Cafe,4.2,$$,717.7772684354105,780 Richards Street,Vancouver,49.2804429972571,-123.117036269849
G42wPpAtYNSoX5QxEt6pVg,Di Beppe,4.1,$$,586.0307010543698,8 W Cordova Street,Vancouver,49.28237705581659,-123.10450043738042
a_uX_ffrbXsWgUpD5pjW7g,Bodega On Main,3.9,$$,657.0994103022281,1014 Main Street,Vancouver,49.27548853708847,-123.09968391901442
8-l4x9EYK6JAbMycfrDU3Q,JINYA Ramen Bar - Vancouver Downtown,3.8,$$,771.6147617599521,541 Robson St.,Vancouver,49.28031515071204,-123.11793569570304
IKWsLkiJLA4YwiIoxnaZaQ,Nuba in Gastown,4.1,$$$,578.1158294650784,207 W Hastings Street,Vancouver,49.2827625062516,-123.109646101134
o5YLdmUogknjtDzUBv5Smw,Tom Sushi,4.7,$$,279.1455283838286,1175 Davie St,Vancouver,49.2815608,-123.1327476
kDZTaeUaf78Jd25ktX8a8g,Number E Food,4.8,$$,239.6707926473588,1308 Burrard Street,Vancouver,49.277569151917,-123.131018212403
lQuQy5a4wk0WL7WpP2hwyQ,Maxine's Cafe & Bar,4.2,$$,205.5562257524232,1325 Burrard Street,Vancouver,49.27807,-123.13131
w4akEdaAoTT-bIgStOqeng,Burgoo Bistro,4.2,$$,192.41921822882122,1100 Burrard Street,Vancouver,49.27968,-123.12763
Q2FYU9vFPEoOEMAeNP4enQ,Banana Leaf,3.7,$$,44.36134893405138,1043 Davie St,Vancouver,49.28001,-123.13009
V4PAaxKRgSE1-BvFLs9gKQ,Gurkha Himalayan Kitchen,4.1,$$,207.37780311721679,1141 Davie Street,Vancouver,49.2811737,-123.1321411
67zb4FcsSKuRMJG3x8qEqQ,Cazba,3.4,$$,126.25340928632883,1103 Davie Street,Vancouver,49.2806129,-123.1312714
WAoOGyNniFmpksKjPysagQ,Fat Mao Noodles,4.4,Information not available,222.51242566201032,938 Helmcken Street,Vancouver,49.2799016,-123.1272458
4WMFY6wWQNO3OsL5ykwGCQ,Sushi Mugen,4.1,$$,177.99008032937326,903 Davie street,Vancouver,49.2786508,-123.1282232
